id,title,channel,published_at,description,thumbnail,duration,view_count,like_count,tags,category,genre,mood,release_year
mE_XjZz6fIg,2000&#39;s music hits ~throwback playlist ~2000s vibes mix,Amazing Melody ♫,2024-12-05T07:00:19Z,"you are on a roadtrip during 2000s summer night while listening to these nostalgic songs by Rihanna, Shakira, Miley Cyrus, ...",https://i.ytimg.com/vi/mE_XjZz6fIg/hqdefault.jpg,7737,1714820,7461,[],10,unknown,other,2000.0
3vuJbMgj4bg,Most popular song 2025 English || English song collection 2025 || Song collection 2025 (Lyrics),Music America 3D,2025-01-23T18:38:02Z,"If this music makes you happy , make sure to like ,subscribe & share it with others I love you So right, you make ...",https://i.ytimg.com/vi/3vuJbMgj4bg/hqdefault.jpg,16,1344218,15541,"['Music', 'songs', 'english songs', 'lyric', 'lyrics', 'song lyric', 'song lyrics', 'pop song', 'best song', 'trending song', 'trending', 'lyric video', 'lyrics video', 'pop', 'us uk', 'pop music', 'spotify', 'music 2022', 'throwback song', 'hits mix', 'playlist', 'cathy', 'old song', 'old songs', 'tiktok song', 'tiktok trending', 'tiktok songs', 'hiphop songs', 'pop songs', 'rap songs', 'relax songs', 'new songs', 'new music', 'hit songs', 'music2025', 'Most popular song 2025', '| Most popular song 2025 English || 2025 song playlist with lyrics']",10,pop,happy,2025.0
EIUOC3DZdxE,Top Hits 2025 - Music 2025 || New Songs  Best English Songs  Best Pop Music Playlist  on Spotify,Top Hits Music,2025-02-12T07:27:54Z,topsongs #topmusic #pophits #popsongs Top Hits 2025 - Music 2025 || New Songs Best English Songs Best Pop Music Playlist ...,https://i.ytimg.com/vi/EIUOC3DZdxE/hqdefault.jpg,59,1147097,6171,"['pop songs', 'shawn mendes', 'ed sheeran', 'top hits 2024', 'maroon 5', 'taylor Swift', 'bruno mars', 'miley cyrus', 'selena gomez', 'rihanna', 'adele', 'miley cyrus lyrics', 'maroon 5 songs', 'taylor swift songs', 'rema calm down', 'calm down', 'calm down lyrics', 'pop', 'pop music', 'pop music 2024', 'top songs 2024', 'top music 2024', 'top music', 'top song', 'top songs', 'top hits', 'billboard top 50 this week', 'billboard hot 100', 'billboard 2024', 'pop hits', 'billboard hot 100 this week', 'the weeknd', 'pop song']",10,pop,relaxing,2025.0
7NgCf0TPgW8,"Top 100 Songs 2024 -  Maroon 5, Ed Sheeran, Selena Gomez, Adele, The Weeknd, Dua Lipa",Dream Music,2024-11-09T10:00:07Z,"Billboard Hot 100Top 100 Songs 2024Maroon 5, Ed Sheeran, Selena Gomez, Adele, The Weeknd, Dua Lipa Welcome to ...",https://i.ytimg.com/vi/7NgCf0TPgW8/hqdefault.jpg,15299,891725,4232,"['adele', 'rihanna', 'the weeknd', 'pop', 'pop hits', 'pop song', 'pop music', 'popular music', 'popular songs', 'popular song', 'pop music 2024', 'pop songs', 'pop hits 2024', 'pop songs 2024', 'top songs 2023', 'top songs 2024', 'top hits 2024', 'top hits', 'hits', 'top songs', 'top song', 'top music', 'hits 2024', 'top 100 songs 2024', 'top 40 songs this week', 'top 100 songs', 'pop radio', 'best english songs', 'best songs 2024', 'billboard', 'billboard 2024', 'billboard hot 100', 'popular songs 2024', 'billboard top 50 this week']",10,pop,other,2024.0
QSs4qakCDhE,Top 10 Iconic Songs Of Vishal Dadlani - Emosical || #shorts  #shortsfeed #vishaldadlani #viral,Emosical,2024-01-23T08:30:08Z,Hiiii !!!!  ❤️ Top 10 songs of Vishal Dadlani Top 10 best songs of Vishal Dadlani Vishal Dadlani top 10 songs Vishal Dadlani ...,https://i.ytimg.com/vi/QSs4qakCDhE/hqdefault.jpg,61,749853,38315,"['#top10bestsongsofvishaldadlani', '#top10iconicsongsofvishaldadlani', '#top10songsofvishaldadlani', '#vishaldadlanitop10songs', '#vishaldadlanitop10iconicsongs', '#vishaldadlanisongs', '#vishaldadlani', '#viralshorts']",10,unknown,other,
pQmvKIrt3ds,"Top 40 Pop Songs 2025 🎤  Bruno Mars,, Dua Lipa, Adele, Lady Gaga, The Weeknd",Vibe Out Loud,2025-03-06T11:01:07Z,"Top 40 Pop Songs 2025 Bruno Mars,, Dua Lipa, Adele, Lady Gaga, The Weeknd Get ready to elevate your vibe with the best ...",https://i.ytimg.com/vi/pQmvKIrt3ds/hqdefault.jpg,4600,672840,2101,"['top billboard songs 2025', 'top pop songs 2025', 'pop mix 2025', 'top songs this week 2025', 'pop music 2025', 'most listened songs 2025', 'most popular pop songs', 'best pop songs 2025', 'billboard 2025', 'trending songs 2025', 'most popular songs 2025', 'pop hits 2025', 'best pop music', 'billboard hits 2025', 'top songs 2025', 'international music mix']",10,pop,other,2025.0
GFCXwRkKjJ0,Top 40 Songs of 2023 2024 - Billboard Hot 100 This Week - Best Pop Music Playlist on Spotify 2023,Twinkle Top Songs,2024-07-01T08:00:06Z,"Share your thoughts and favorite tracks in the comments! ➡ If you enjoyed this video like, comment or subscribe to the channel.",https://i.ytimg.com/vi/GFCXwRkKjJ0/hqdefault.jpg,59,632248,3580,"['top songs 2024', 'top songs', 'top music', 'top hits', 'pop songs', 'pop music', 'pop hits', 'pop songs 2024', 'us uk', 'Greatest Hits', 'us uk music', 'best pop songs', 'popular songs', 'best pop music', 'tiktok trending songs', 'billboard top 50 this week', 'top hits music', 'billboard hot 100', 'best pop music playlist', 'billboard hot 100 this week', 'popular song', 'top 100 songs', 'billboard hot', 'top 40 songs this week', 'best english songs', '40 top songs this week', 'trending songs', 'trending music']",10,pop,other,2023.0
bt7kQyYZFcs,Top 10 Most Streamed Songs (2023),Nameless,2023-04-25T15:00:28Z,Top 10 Most Streamed Songs (2023),https://i.ytimg.com/vi/bt7kQyYZFcs/hqdefault.jpg,41,580809,26749,[],10,unknown,other,2023.0
sHzdMcB8hfc,"Top 40 Songs This Week 2025 🎤  Bruno Mars, Dua Lipa, Adele, Lady Gaga, The Weeknd",Vibe Out Loud,2025-03-26T11:01:17Z,"Top 40 Songs This Week 2025 Bruno Mars, Dua Lipa, Adele, Lady Gaga, The Weeknd Get ready to elevate your vibe with the ...",https://i.ytimg.com/vi/sHzdMcB8hfc/hqdefault.jpg,3984,574526,2572,"['top billboard songs 2025', 'top pop songs 2025', 'pop mix 2025', 'top songs this week 2025', 'pop music 2025', 'most listened songs 2025', 'most popular pop songs', 'best pop songs 2025', 'billboard 2025', 'trending songs 2025', 'most popular songs 2025', 'pop hits 2025', 'best pop music', 'billboard hits 2025', 'top songs 2025', 'international music mix']",10,pop,other,2025.0
CrkcQQ7sZDU,Try not to sing! Top Hits of 2010s,Arc North Daily,2022-08-26T00:15:34Z,shorts #hiphop #DJ #music #dancemusic #challange #artist #artistlive #live #liveartist #songs #song #djing #djlive #singer #love ...,https://i.ytimg.com/vi/CrkcQQ7sZDU/hqdefault.jpg,52,524497,34874,"['Arc North', 'Music video', 'Arc', 'North', 'Billie Eilish', 'Tiktok hits', 'Music', 'Tiktok 2022', 'Songs 2022', 'Arc North Tiktok', 'ark north', 'ark', 'Dj', 'djing', 'music', 'artist', 'art', 'love', 'short', 'shorts', 'hiphop', 'rap', 'dance', 'edm', 'pop', 'dance pop', 'challange', 'dj challange', 'tiktok dj', 'dj tiktok', 'dj live', 'live dj', 'live artist', 'artist live', 'singer', 'producer', 'trend', 'tiktok trend', 'trending', 'viral tiktok', 'viral song', 'trending song', 'magic music', 'music mix', 'dj set', 'live set', 'live music', 'dj live music', 'avicii live', 'fyp']",10,pop,romantic,2022.0
